COORDINATES: Geodetic
DATUM: WGE
# ELLIPSOID: WE
NO HEIGHT
COORDINATE ORDER: LATITUDE-LONGITUDE
END OF HEADER

# produced by NGA Coordinate Systems Analysis Team
# Oct. 30, 2006

85 0 0.0N, 60 0 0.0W
85 0 0.0N, 50 0 0.0W
85 0 0.0N, 40 0 0.0W
85 0 0.0N, 30 0 0.0W
85 0 0.0N, 20 0 0.0W
85 0 0.0N, 10 0 0.0W
85 0 0.0N, 0 0 0.0E
85 0 0.0N, 10 0 0.0E
85 0 0.0N, 20 0 0.0E
85 0 0.0N, 30 0 0.0E
85 0 0.0N, 40 0 0.0E
85 0 0.0N, 50 0 0.0E
85 0 0.0N, 60 0 0.0E
75 0 0.0N, 60 0 0.0W
75 0 0.0N, 50 0 0.0W
75 0 0.0N, 40 0 0.0W
75 0 0.0N, 30 0 0.0W
75 0 0.0N, 20 0 0.0W
75 0 0.0N, 10 0 0.0W
75 0 0.0N, 0 0 0.0E
75 0 0.0N, 10 0 0.0E
75 0 0.0N, 20 0 0.0E
75 0 0.0N, 30 0 0.0E
75 0 0.0N, 40 0 0.0E
75 0 0.0N, 50 0 0.0E
75 0 0.0N, 60 0 0.0E
60 0 0.0N, 60 0 0.0W
60 0 0.0N, 55 0 0.0W
60 0 0.0N, 50 0 0.0W
60 0 0.0N, 45 0 0.0W
60 0 0.0N, 40 0 0.0W
60 0 0.0N, 35 0 0.0W
60 0 0.0N, 30 0 0.0W
60 0 0.0N, 25 0 0.0W
60 0 0.0N, 20 0 0.0W
60 0 0.0N, 15 0 0.0W
60 0 0.0N, 10 0 0.0W
60 0 0.0N, 5 0 0.0W
60 0 0.0N, 0 0 0.0E
60 0 0.0N, 5 0 0.0E
60 0 0.0N, 10 0 0.0E
60 0 0.0N, 15 0 0.0E
60 0 0.0N, 20 0 0.0E
60 0 0.0N, 25 0 0.0E
60 0 0.0N, 30 0 0.0E
60 0 0.0N, 35 0 0.0E
60 0 0.0N, 40 0 0.0E
60 0 0.0N, 45 0 0.0E
60 0 0.0N, 50 0 0.0E
60 0 0.0N, 55 0 0.0E
60 0 0.0N, 60 0 0.0E
45 0 0.0N, 60 0 0.0W
45 0 0.0N, 50 0 0.0W
45 0 0.0N, 40 0 0.0W
45 0 0.0N, 30 0 0.0W
45 0 0.0N, 20 0 0.0W
45 0 0.0N, 10 0 0.0W
45 0 0.0N, 0 0 0.0E
45 0 0.0N, 0 7 30.0E
45 0 0.0N, 0 15 0.0E
45 0 0.0N, 0 30 0.0E
45 0 0.0N, 1 0 0.0E
45 0 0.0N, 2 0 0.0E
45 0 0.0N, 3 0 0.0E
45 0 0.0N, 5 0 0.0E
45 0 0.0N, 10 0 0.0E
45 0 0.0N, 15 0 0.0E
45 0 0.0N, 20 0 0.0E
45 0 0.0N, 25 0 0.0E
45 0 0.0N, 30 0 0.0E
45 0 0.0N, 35 0 0.0E
45 0 0.0N, 40 0 0.0E
45 0 0.0N, 45 0 0.0E
45 0 0.0N, 50 0 0.0E
45 0 0.0N, 55 0 0.0E
45 0 0.0N, 60 0 0.0E
30 0 0.0N, 60 0 0.0W
30 0 0.0N, 50 0 0.0W
30 0 0.0N, 40 0 0.0W
30 0 0.0N, 30 0 0.0W
30 0 0.0N, 20 0 0.0W
30 0 0.0N, 10 0 0.0W
30 0 0.0N, 0 0 0.0E
30 0 0.0N, 5 0 0.0E
30 0 0.0N, 10 0 0.0E
30 0 0.0N, 15 0 0.0E
30 0 0.0N, 20 0 0.0E
30 0 0.0N, 25 0 0.0E
30 0 0.0N, 30 0 0.0E
30 0 0.0N, 35 0 0.0E
30 0 0.0N, 40 0 0.0E
30 0 0.0N, 45 0 0.0E
30 0 0.0N, 50 0 0.0E
30 0 0.0N, 55 0 0.0E
30 0 0.0N, 57 0 0.0E
30 0 0.0N, 58 0 0.0E
30 0 0.0N, 59 0 0.0E
30 0 0.0N, 59 15 0.0E
30 0 0.0N, 59 30 0.0E
30 0 0.0N, 59 45 0.0E
30 0 0.0N, 60 0 0.0E
0 0 0.0N, 60 0 0.0W
0 0 0.0N, 58 0 0.0W
0 0 0.0N, 56 0 0.0W
0 0 0.0N, 54 0 0.0W
0 0 0.0N, 52 0 0.0W
0 0 0.0N, 50 0 0.0W
0 0 0.0N, 48 0 0.0W
0 0 0.0N, 46 0 0.0W
0 0 0.0N, 44 0 0.0W
0 0 0.0N, 42 0 0.0W
0 0 0.0N, 40 0 0.0W
0 0 0.0N, 38 0 0.0W
0 0 0.0N, 36 0 0.0W
0 0 0.0N, 34 0 0.0W
0 0 0.0N, 32 0 0.0W
0 0 0.0N, 30 0 0.0W
0 0 0.0N, 28 0 0.0W
0 0 0.0N, 26 0 0.0W
0 0 0.0N, 24 0 0.0W
0 0 0.0N, 22 0 0.0W
0 0 0.0N, 20 0 0.0W
0 0 0.0N, 18 0 0.0W
0 0 0.0N, 16 0 0.0W
0 0 0.0N, 14 0 0.0W
0 0 0.0N, 12 0 0.0W
0 0 0.0N, 10 0 0.0W
0 0 0.0N, 8 0 0.0W
0 0 0.0N, 6 0 0.0W
0 0 0.0N, 4 0 0.0W
0 0 0.0N, 2 0 0.0W
0 0 0.0N, 0 0 0.0E
0 0 0.0N, 2 0 0.0E
0 0 0.0N, 4 0 0.0E
0 0 0.0N, 6 0 0.0E
0 0 0.0N, 8 0 0.0E
0 0 0.0N, 10 0 0.0E
0 0 0.0N, 12 0 0.0E
0 0 0.0N, 14 0 0.0E
0 0 0.0N, 16 0 0.0E
0 0 0.0N, 18 0 0.0E
0 0 0.0N, 20 0 0.0E
0 0 0.0N, 22 0 0.0E
0 0 0.0N, 24 0 0.0E
0 0 0.0N, 26 0 0.0E
0 0 0.0N, 28 0 0.0E
0 0 0.0N, 30 0 0.0E
0 0 0.0N, 32 0 0.0E
0 0 0.0N, 34 0 0.0E
0 0 0.0N, 36 0 0.0E
0 0 0.0N, 38 0 0.0E
0 0 0.0N, 40 0 0.0E
0 0 0.0N, 42 0 0.0E
0 0 0.0N, 44 0 0.0E
0 0 0.0N, 46 0 0.0E
0 0 0.0N, 48 0 0.0E
0 0 0.0N, 50 0 0.0E
0 0 0.0N, 52 0 0.0E
0 0 0.0N, 54 0 0.0E
0 0 0.0N, 56 0 0.0E
0 0 0.0N, 58 0 0.0E
0 0 0.0N, 60 0 0.0E
60 0 0.0S, 60 0 0.0W
60 0 0.0S, 55 0 0.0W
60 0 0.0S, 50 0 0.0W
60 0 0.0S, 45 0 0.0W
60 0 0.0S, 40 0 0.0W
60 0 0.0S, 35 0 0.0W
60 0 0.0S, 30 0 0.0W
60 0 0.0S, 25 0 0.0W
60 0 0.0S, 20 0 0.0W
60 0 0.0S, 15 0 0.0W
60 0 0.0S, 10 0 0.0W
60 0 0.0S, 5 0 0.0W
60 0 0.0S, 0 0 0.0E
60 0 0.0S, 5 0 0.0E
60 0 0.0S, 10 0 0.0E
60 0 0.0S, 15 0 0.0E
60 0 0.0S, 20 0 0.0E
60 0 0.0S, 25 0 0.0E
60 0 0.0S, 30 0 0.0E
60 0 0.0S, 35 0 0.0E
60 0 0.0S, 40 0 0.0E
60 0 0.0S, 45 0 0.0E
60 0 0.0S, 50 0 0.0E
60 0 0.0S, 55 0 0.0E
60 0 0.0S, 60 0 0.0E
85 0 0.0S, 60 0 0.0W
85 0 0.0S, 50 0 0.0W
85 0 0.0S, 40 0 0.0W
85 0 0.0S, 30 0 0.0W
85 0 0.0S, 20 0 0.0W
85 0 0.0S, 10 0 0.0W
85 0 0.0S, 0 0 0.0E
85 0 0.0S, 10 0 0.0E
85 0 0.0S, 20 0 0.0E
85 0 0.0S, 30 0 0.0E
85 0 0.0S, 40 0 0.0E
85 0 0.0S, 50 0 0.0E
85 0 0.0S, 60 0 0.0E
88 0 0.0N, 0 0 0.0E
86 0 0.0N, 0 0 0.0E
84 0 0.0N, 0 0 0.0E
82 0 0.0N, 0 0 0.0E
80 0 0.0N, 0 0 0.0E
78 0 0.0N, 0 0 0.0E
76 0 0.0N, 0 0 0.0E
74 0 0.0N, 0 0 0.0E
72 0 0.0N, 0 0 0.0E
70 0 0.0N, 0 0 0.0E
68 0 0.0N, 0 0 0.0E
66 0 0.0N, 0 0 0.0E
